[2026-05-09 18:41:12.512] [Hash Trace] Tick: 1020
P1.Position.Z                  | Val: 18446744073709551109 | AccumHash: 7075371115345877988
P1.Velocity.X                  | Val: 0                    | AccumHash: 1799711397411513452
P1.Velocity.Y                  | Val: 0                    | AccumHash: 6914493924489274244
P1.Velocity.Z                  | Val: 0                    | AccumHash: 15371059908463745356
P1.DepthAxis.X                 | Val: 18446744073709542027 | AccumHash: 5506703754340428581
P1.DepthAxis.Y                 | Val: 0                    | AccumHash: 11564908085754793951
P1.DepthAxis.Z                 | Val: 65058                | AccumHash: 3272737328919621863
P1.CurrentDirection.X          | Val: 67112                | AccumHash: 10967034214136816061
P1.CurrentDirection.Y          | Val: 0                    | AccumHash: 14724057940124455975
P1.CurrentDirection.Z          | Val: 0                    | AccumHash: 11102398965675982405
P1.LookDirection.X             | Val: 65058                | AccumHash: 10836177220366872325
P1.LookDirection.Y             | Val: 0                    | AccumHash: 12532746661539636607
P1.LookDirection.Z             | Val: 9589                 | AccumHash: 10549782171349209342
P1.IsGrounded                  | Val: 1                    | AccumHash: 14709771803709874509
P1.IsRootMotionActive          | Val: 0                    | AccumHash: 1126621292990404055
P1.CachedCurrentState          | Val: 1                    | AccumHash: 12020301076192139938
P1.StateFrameCounter           | Val: 6                    | AccumHash: 2465142444950144172
P1.CurrentActionID             | Val: 0                    | AccumHash: 2264992707480203332
P1.IsCommandActionTriggered    | Val: 0                    | AccumHash: 11427029896965194636
P1.HurtInfo.Damage             | Val: 0                    | AccumHash: 15574434330227312356
P1.HurtInfo.StunFrames         | Val: 0                    | AccumHash: 2115551968507639148
P1.ScheduledWakeUpType         | Val: 0                    | AccumHash: 12246371952895608452
P1.IsFromRoll                  | Val: 0                    | AccumHash: 8044171201729909324
P1.SideStepDirection           | Val: 0                    | AccumHash: 4264182438884824868
P1.CurrentStunFrames           | Val: 0                    | AccumHash: 13728245963156623916
P1.IsGroundBouncing            | Val: 0                    | AccumHash: 16087846478404051140
