[2026-05-13 17:34:24.308] [Hash Trace] Tick: 240
P2.IsGrounded                  | Val: 1                    | AccumHash: 2147686624087216157
P2.IsRootMotionActive          | Val: 0                    | AccumHash: 4092764324810842439
P2.CachedCurrentState          | Val: 128                  | AccumHash: 4700742088632214821
P2.StateFrameCounter           | Val: 14                   | AccumHash: 9242267633706510353
P2.CurrentActionID             | Val: 1504694068           | AccumHash: 8608904572878865375
P2.IsCommandActionTriggered    | Val: 0                    | AccumHash: 12741567616399528941
P2.HurtInfo.Damage             | Val: 0                    | AccumHash: 10671984255352282039
P2.HurtInfo.StunFrames         | Val: 0                    | AccumHash: 9125741865532364789
P2.ScheduledWakeUpType         | Val: 0                    | AccumHash: 3041989414515848527
P2.IsFromRoll                  | Val: 0                    | AccumHash: 8301366751431464253
P2.SideStepDirection           | Val: 0                    | AccumHash: 1267255196350322343
P2.CurrentStunFrames           | Val: 0                    | AccumHash: 2075433520251928005
P2.IsGroundBouncing            | Val: 0                    | AccumHash: 9154672230066959807
P2.CurrentHealth               | Val: 100                  | AccumHash: 2844890707331482401
P2.HitstopCounter              | Val: 0                    | AccumHash: 7180948997408149779
[Final Hash]: 7180948997408149779
==================================================

[2026-05-13 17:34:27.323] [Hash Trace] Tick: 420
Tick                           | Val: 420                  | AccumHash: 12637972795788140851
SharedDepthAxis.X              | Val: 0                    | AccumHash: 433805748738320809
SharedDepthAxis.Y              | Val: 0                    | AccumHash: 5528808549757487659
SharedDepthAxis.Z              | Val: 65601                | AccumHash: 15100428986579464734
CurrentTimerFrames             | Val: 5160                 | AccumHash: 3133655021985885634
IsTimerPaused                  | Val: 0                    | AccumHash: 18143778329614647462
CurrentPhase                   | Val: 1                    | AccumHash: 17837678956915891141
PhaseDelayTicks                | Val: 0                    | AccumHash: 1281271796044312511
SimulationScale                | Val: 65536                | AccumHash: 3063628473170108813
--- P1 ---
P1.Position.X                  | Val: 18446744073709420544 | AccumHash: 12610309767505216151
P1.Position.Y                  | Val: 0                    | AccumHash: 2875349074174338709
P1.Position.Z                  | Val: 0                    | AccumHash: 3957143105408323375
P1.Velocity.X                  | Val: 0                    | AccumHash: 10407997419247439069
P1.Velocity.Y                  | Val: 0                    | AccumHash: 15884477755720260487
P1.Velocity.Z                  | Val: 0                    | AccumHash: 16203708771792914021
P1.DepthAxis.X                 | Val: 0                    | AccumHash: 12983691361206525343
P1.DepthAxis.Y                 | Val: 0                    | AccumHash: 3624724332107240749
P1.DepthAxis.Z                 | Val: 65601                | AccumHash: 8103320779715765892
P1.CurrentDirection.X          | Val: 0                    | AccumHash: 1609247883974193740
P1.CurrentDirection.Y          | Val: 0                    | AccumHash: 14372950772590245668
P1.CurrentDirection.Z          | Val: 65536                | AccumHash: 6567071552971797036
P1.LookDirection.X             | Val: 65601                | AccumHash: 5929769411348721463
P1.LookDirection.Y             | Val: 0                    | AccumHash: 4610961577950345845
P1.LookDirection.Z             | Val: 0                    | AccumHash: 8078017890905494735
